Provinsi,Tahun,Pengeluaran_Perkapita_Sayur_Perprovinsi,Garis_Kemiskinan,Bansos
Aceh,2021,12130.2,475011.78,388854
Sumatera Utara,2021,11947.27,442529.64,789834
Sumatera Barat,2021,14684.21,474713.21,298621
Riau,2021,15759.08,542606.25,259290
Jambi,2021,16081.18,445559.91,171970
Sumatera Selatan,2021,12653.24,459852.41,489642
Bengkulu,2021,14497.1,456359.6,138977
Lampung,2021,14199.8,451926.27,715565
Kepulauan Bangka Belitung,2021,17165.86,466482.61,53248
Kepulauan Riau,2021,15729.14,520191.14,59911
DKI Jakarta,2021,16367,654556.17,224107
Jawa Barat,2021,11112.52,447506.78,4220864
Jawa Tengah,2021,11013.09,414276.46,3282992
DI Yogyakarta,2021,11307.6,416796.2,336898
Jawa Timur,2021,11125.05,420462.66,3068572
Banten,2021,13795.5,493539.13,537221
Bali,2021,14085.38,459549.11,154970
Nusa Tenggara Barat,2021,12687.7,439752.8,473816
Nusa Tenggara Timur,2021,11240.27,386481.91,424085
Kalimantan Barat,2021,12726.31,450774.43,290042
Kalimantan Tengah,2021,15788.71,479586.21,86319
Kalimantan Selatan,2021,10257.15,501946.92,165801
Kalimantan Timur,2021,14852.33,614910.2,110490
Kalimantan Utara,2021,15379.2,553709.4,25907
Sulawesi Utara,2021,12734.07,351533.93,132042
Sulawesi Tengah,2021,9878.46,439395.62,187427
Sulawesi Selatan,2021,7493.27,373435.92,569335
Sulawesi Tenggara,2021,7789.47,351915,169843
Gorontalo,2021,12165.33,442785.33,99289
Sulawesi Barat,2021,7613.33,336800.17,94456
Maluku,2021,12004.18,529382.73,97879
Maluku Utara,2021,12264,426867.9,45980
Papua Barat,2021,16709,545622.77,62756
Papua Barat Daya,2021,16531.33,466482.61,330603
Papua,2021,26239.23,593588.21,330603
Papua Selatan,2021,14581.5,466482.61,330603
Papua Tengah,2021,28706.25,466482.61,330603
Papua Pegunungan,2021,37768.4,466482.61,330603
Aceh,2022,13807.5,505655.26,3323087
Sumatera Utara,2022,13307.03,470275.58,4173274
Sumatera Barat,2022,15182.9,504979.47,1793037
Riau,2022,16615.61,578044,1720257
Jambi,2022,15722.46,484180,976860
Sumatera Selatan,2022,12654.83,486086.06,3023782
Bengkulu,2022,14720.03,490524.5,936300
Lampung,2022,13291.67,481478.2,4504276
Kepulauan Bangka Belitung,2022,18008.12,496769.33,220955
Kepulauan Riau,2022,15747.55,550239.14,394277
DKI Jakarta,2022,16545.81,692113.5,1523154
Jawa Barat,2022,10860.72,468619.37,26184572
Jawa Tengah,2022,10562.08,441464.51,21394777
